start_cons, vowel, end_cons,silent_e,location_front, syllables
,e,,,2,5
m,o,,,3,5
n,i,,,4,5
,ou,s,,5,5
c,e,r,,1,4
,e,,,2,4
m,o,,,3,4
n,y,,,4,4
c,e,,,1,3
r,e,n,,2,3
k,o,v,,3,3
c,e,,,1,3
r,e,n,,2,3
k,o,v,,3,3
,e,f,,1,2
f,e,ct,,2,2
c,e,,,1,2
r,e,s,,2,2
c,e,,,1,3
r,e,,,2,3
u,s,,,3,3
c,e,,,1,2
r,i,c,,2,2
c,e,,,1,2
r,i,c,,2,2
,o,x,,1,2
,i,d,e,2,2
c,e,r,,1,2
,i,ph,,2,2
c,e,,,1,2
r,i,s,e,2,2
c,e,,,1,3
r,i,,,2,3
,u,m,,3,3
c,e,r,,1,2
m,e,t,,2,2
c,e,r,,1,3
n,u,,,2,3
,ou,s,,3,3
c,e,,,1,2
r,o,,,2,2
c,e,,,1,3
r,o,,,2,3
t,i,c,,3,3
,a,c,,1,2
,i,d,,2,2
c,e,,,1,3
r,o,,,2,3
t,y,p,e,3,3
c,e,,,1,2
r,ou,s,,2,2
c,e,r,,1,2
r,o,,,2,2
g,o,r,,1,2
d,o,,,2,2
c,e,r,,1,2
t,ai,n,,2,2
#End page 236's first column
#Page 1287
sh,y,,,1,2
l,o,ck,,2,2
sh,y,m,,1,2
k,e,nt,,2,2
sh,y,,,1,2
st,e,r,,2,2
s,i,,,1,1
s,i,,,1,1
s,i,,,1,2
,a,l,,2,2
s,i,,,1,4
,a,l,,2,4
,a,,,3,4
g,o,g,ue,4,4
s,i,,,1,3
,a,l,,2,3
,i,c,,3,3
,a,c,,1,2
,i,d,,1,2
s,i,,,1,3
,a,l,,2,3
k,o,t,,3,3
s,i,,,1,2
,a,m,,2,2
s,i,,,1,3
,a,,,2,3
m,e,s,e,3,3
s,i,,,1,3
,a,,,2,3
m,e,s,e,3,3
c,a,t,,1,1
s,i,,,1,3
,a,,,2,3
m,e,s,e,3,3
f,i,ght,,1,2
,i,ng,,2,2
f,i,sh,,1,1
s,i,,,1,3
,a,,,2,3
m,e,s,e,3,3
tw,i,n,,1,1
s,ia,ng,,1,1
k,ia,ng,,1,1
s,ia,ng,,1,2
t,a,n,,2,2
s,iau,,,1,2
l,iai,,,2,2
s,i,b,,1,1
s,i,,,1,4
b,e,,,2,4
l,i,,,3,4
u,s,,,4,4
s,i,,,1,4
b,e,,,2,4
r,i,,,3,4
,a,,,4,4
s,i,,,1,4
b,e,,,2,4
r,i,,,3,4
,a,,,4,4
s,i,,,1,4
b,e,,,2,4
r,i,,,3,4
,a,n,,4,4
h,u,s,,1,2
k,y,,,2,2
s,i,b,,1,3
,i,,,2,3
l,a,nt,,3,3
s,i,b,,1,3
,i,,,2,3
l,a,t,e,3,3
s,i,,,1,2
b,iu,,,2,2
s,i,n,,1,2
l,i,ng,,2,2
s,i,,,1,3
b,u,,,2,3
y,a,n,,3,3
s,ea,,,1,1
s,i,b,,1,2
,y,l,,2,2
s,i,b,,1,3
,y,l,,2,3
l,i,n,e,3,3
s,i,c,,1,1
s,i,c,,1,1
#End of page 1287's first column
#Page 224
c,a,sh,,1,1
cr,o,p,,1,1
c,a,sh,,1,1
d,i,s,,1,2
c,ou,nt,,2,2
c,a,sh,,1,2
,e,w,,2,2
c,a,sh,,1,2
,e,w,,2,2
,a,p,,1,2
pl,e,,,2,2
c,a,sh,,1,1
fl,o,w,,1,1
c,a,sh,,1,2
,ie,r,,2,2
c,a,,,1,2
sh,ie,r,,2,2
c,a,,,1,2
sh,ie,r,,2,2
ch,e,ck,,1,1
c,a,sh,,1,2
m,e,r,e,2,2
c,a,sh,,1,2
m,e,r,e,2,2
c,a,sh,,1,2
m,e,r,e,2,2
g,oa,t,,1,1
c,a,sh,,1,1
r,e,g,,1,3
,i,s,,2,3
t,e,r,,3,3
c,a,s,,1,3
,i,,,2,3
m,e,r,e,3,3
c,a,s,,1,2
,i,ng,,2,2
c,a,,,1,3
s,i,,,2,3
n,o,,,3,3
c,a,sk,,1,1
c,a,s,,1,2
k,e,t,,2,2
c,a,s,,1,2
l,o,n,,2,2
c,a,s,,1,2
p,a,r,,2,2
c,a,s,,1,2
p,e,r,,2,2
c,a,s,,1,3
p,i,,,2,3
,a,n,,3,3
s,ea,,,1,1
c,a,sq,ue,1,1
c,a,ss,,1,1
c,a,s,,1,3
s,a,,,2,3
b,a,,,3,3
c,a,s,,1,3
s,a,n,,2,3
dr,a,,,3,3
c,a,s,,1,3
s,a,,,2,3
t,io,n,,3,3
c,a,s,,1,2
s,a,tt,,2,2
c,a,s,,1,3
s,a,,,2,3
v,a,,,3,3
c,a,s,,1,2
s,e,l,,2,2
c,a,s,,1,3
s,e,,,2,3
r,o,l,e,3,3
c,a,s,,1,2
s,e,tt,e,2,2
#End of page 224's first column
#Page 1230
s,a,ng,,1,1
s,a,n,,1,1
g,a,,,1,3
br,i,,,2,3
,e,l,,3,3
s,a,n,,1,3
g,a,,,2,3
m,o,n,,3,3
s,a,n,,1,3
g,a,,,2,3
r,ee,,,3,3
s,a,ng,,1,2
,e,r,,2,2
s,a,ng,,1,2
,e,r,,2,2
s,a,ng,,1,2
